candidate_tag,model_id,model_runnable,task_competent,p0_graded_band,pairs,seq_len_tokens,n,constrained_acc,format_adherence,unconstrained_exact_acc,chance,value_vocab_size,n_constrained_correct,n_format_ok,eval_seconds
DELTANET,fla-hub/delta_net-1.3B-100B,YES,NO,NOT_FOUND_WITHIN_BUDGET,4,18,200,0.73,0.725,0.58,0.00390625,256,146,145,13.29
DELTANET,fla-hub/delta_net-1.3B-100B,YES,NO,NOT_FOUND_WITHIN_BUDGET,8,34,200,0.7,0.69,0.54,0.00390625,256,140,138,4.84
DELTANET,fla-hub/delta_net-1.3B-100B,YES,NO,NOT_FOUND_WITHIN_BUDGET,16,66,200,0.76,0.55,0.485,0.00390625,256,152,110,13.87
DELTANET,fla-hub/delta_net-1.3B-100B,YES,NO,NOT_FOUND_WITHIN_BUDGET,32,130,200,0.755,0.465,0.43,0.00390625,256,151,93,12.65
DELTANET,fla-hub/delta_net-1.3B-100B,YES,NO,NOT_FOUND_WITHIN_BUDGET,64,258,200,0.68,0.365,0.355,0.00390625,256,136,73,14.05
DELTANET,fla-hub/delta_net-1.3B-100B,YES,NO,NOT_FOUND_WITHIN_BUDGET,128,514,200,0.53,0.22,0.2,0.00390625,256,106,44,16.45
MAMBA2,AntonV/mamba2-1.3b-hf,YES,YES,PLAUSIBLE,4,18,64,0.953125,0.640625,0.609375,0.00390625,256,61,41,2.49
MAMBA2,AntonV/mamba2-1.3b-hf,YES,YES,PLAUSIBLE,8,34,64,0.921875,0.578125,0.5625,0.00390625,256,59,37,4.12
MAMBA2,AntonV/mamba2-1.3b-hf,YES,YES,PLAUSIBLE,16,66,64,0.78125,0.453125,0.421875,0.00390625,256,50,29,6.12
MAMBA2,AntonV/mamba2-1.3b-hf,YES,YES,PLAUSIBLE,32,130,64,0.71875,0.296875,0.28125,0.00390625,256,46,19,10.27
MAMBA2,AntonV/mamba2-1.3b-hf,YES,YES,PLAUSIBLE,64,258,64,0.515625,0.125,0.125,0.00390625,256,33,8,22.18
MAMBA2,AntonV/mamba2-1.3b-hf,YES,YES,PLAUSIBLE,128,514,64,0.234375,0.078125,0.0625,0.00390625,256,15,5,38.14
